12, 87 
36, 44 
18, 87 
60, 52 
10, 19 
18, 24 
29, 27 
25, 70 
86, 0 
39, 44 
62, 36 
85, 7 
25, 29 
90, 47 
68, 7 
99, 92 
68, 12 
86, 42 
56, 64 
73, 49 
39, 12 
56, 74 
92, 11 
71, 49 
82, 69 
5, 3 
38, 92 
6, 34 
16, 0 
36, 83 
51, 92 
48, 40 
63, 17 
81, 22 
70, 92 
78, 99 
50, 64 
80, 53 
66, 37 
17, 92 
9, 3 
94, 20 
62, 55 
60, 37 
94, 45 
98, 13 
80, 36 
36, 38 
47, 0 
63, 39 
3, 81 
14, 76 
15, 82 
33, 1 
89, 53 
20, 42 
15, 28 
29, 81 
86, 4 
6, 66 
71, 88 
96, 21 
50, 58 
7, 85 
42, 60 
42, 6 
5, 48 
48, 2 
16, 48 
42, 41 
0, 1 
42, 30 
68, 80 
16, 91 
77, 49 
34, 56 
47, 67 
48, 70 
13, 91 
23, 34 
9, 76 
12, 90 
22, 7 
39, 84 
50, 61 
6, 28 
79, 73 
97, 93 
57, 4 
50, 6 
67, 27 
74, 29 
72, 6 
27, 81 
55, 64 
18, 29 
5, 28 
28, 99 
63, 9 
60, 37 
21, 1 
1, 28 
36, 17 
41, 58 
29, 12 
67, 68 
89, 64 
27, 25 
5, 52 
31, 57 
11, 42 
79, 98 
77, 31 
51, 47 
4, 18 
23, 39 
54, 29 
97, 55 
51, 83 
66, 91 
83, 69 
94, 70 
95, 16 
6, 67 
15, 30 
66, 12 
95, 96 
27, 4 
27, 9 
77, 16 
64, 0 
39, 31 
34, 93 
30, 55 
76, 18 
94, 99 
89, 43 
71, 59 
14, 39 
35, 5 
42, 85 
27, 50 
10, 4 
64, 4 
80, 99 
97, 78 
52, 79 
28, 23 
86, 53 
85, 49 
71, 2 
9, 9 
23, 3 
47, 42 
44, 21 
73, 26 
94, 37 
25, 19 
44, 11 
90, 9 
58, 42 
3, 65 
90, 97 
83, 83 
34, 77 
81, 33 
44, 85 
77, 22 
20, 67 
48, 44 
48, 73 
62, 71 
91, 78 
95, 68 
50, 84 
28, 88 
92, 55 
8, 41 
53, 94 
66, 85 
6, 28 
99, 15 
85, 86 
62, 77 
56, 16 
48, 78 
79, 30 
84, 33 
53, 96 
38, 46 
85, 22 
28, 54 
6, 74 
40, 25 
30, 2 
62, 66 
94, 86 
63, 76 
96, 22 
62, 2 
28, 0 
5, 40 
82, 2 
39, 16 
44, 82 
22, 41 
55, 5 
88, 13 
76, 79 
91, 97 
96, 28 
79, 37 
37, 55 
33, 81 
31, 29 
73, 18 
98, 60 
16, 50 
68, 0 
39, 56 
89, 6 
4, 58 
74, 57 
9, 21 
10, 38 
4, 47 
94, 37 
71, 84 
36, 18 
70, 15 
8, 47 
65, 30 
27, 89 
34, 88 
64, 72 
23, 63 
65, 50 
64, 0 
51, 62 
60, 87 
11, 94 
42, 93 
48, 13 
77, 50 
30, 85 
19, 24 
38, 94 
20, 55 
54, 16 
62, 2 
30, 34 
92, 85 
61, 69 
96, 94 
51, 95 
38, 38 
86, 92 
32, 82 
35, 77 
4, 35 
89, 16 
12, 51 
90, 28 
3, 21 
95, 16 
68, 19 
40, 84 
45, 18 
61, 40 
94, 42 
40, 98 
87, 17 
32, 51 
38, 91 
74, 82 
69, 22 
76, 19 
14, 77 
63, 94 
66, 1 
61, 66 
75, 69 
40, 96 
4, 3 
28, 77 
39, 65 
61, 75 
66, 17 
30, 76 
91, 45 
27, 16 
18, 92 
53, 35 
12, 89 
71, 62 
68, 64 
51, 67 
56, 93 
43, 43 
6, 44 
69, 9 
9, 88 
88, 63 
29, 30 
38, 70 
42, 89 
23, 32 
11, 33 
36, 71 
15, 59 
71, 70 
24, 75 
59, 57 
57, 86 
38, 43 
48, 16 
56, 20 
20, 50 
78, 55 
53, 46 
83, 13 
35, 93 
48, 8 
44, 54 
71, 9 
6, 30 
44, 71 
85, 40 
17, 82 
65, 88 
